Timestamp,Source IP,Destination IP,Protocol,Length
2025-10-18 20:37:17,20.42.73.26,10.239.33.27,TCP,66
2025-10-18 20:37:17,10.239.33.27,10.239.33.190,TCP,66
2025-10-18 20:37:17,10.239.33.27,10.239.33.190,TCP,66
2025-10-18 20:37:17,10.239.33.27,10.239.33.190,TCP,66
2025-10-18 20:37:17,10.239.33.190,10.239.33.27,TCP,66
2025-10-18 20:37:17,10.239.33.27,10.239.33.190,TCP,54
2025-10-18 20:37:17,10.239.33.27,10.239.33.190,TCP,56
2025-10-18 20:37:17,10.239.33.27,10.239.33.190,TCP,120
2025-10-18 20:37:17,10.239.33.190,10.239.33.27,TCP,66
2025-10-18 20:37:17,10.239.33.27,10.239.33.190,TCP,54
2025-10-18 20:37:17,10.239.33.190,10.239.33.27,TCP,66
2025-10-18 20:37:17,10.239.33.27,10.239.33.190,TCP,56
2025-10-18 20:37:17,10.239.33.27,10.239.33.190,TCP,54
2025-10-18 20:37:17,10.239.33.27,10.239.33.190,TCP,120
2025-10-18 20:37:17,10.239.33.27,10.239.33.190,TCP,56
2025-10-18 20:37:17,10.239.33.27,10.239.33.190,TCP,120
2025-10-18 20:37:17,10.239.33.190,10.239.33.27,TCP,54
2025-10-18 20:37:17,10.239.33.190,10.239.33.27,TCP,54
2025-10-18 20:37:17,10.239.33.190,10.239.33.27,TCP,54
2025-10-18 20:37:17,10.239.33.190,10.239.33.27,TCP,54
2025-10-18 20:37:17,10.239.33.190,10.239.33.27,TCP,54
2025-10-18 20:37:17,10.239.33.190,10.239.33.27,TCP,54
2025-10-18 20:37:17,10.239.33.190,10.239.33.27,TCP,55
2025-10-18 20:37:17,10.239.33.190,10.239.33.27,TCP,55
2025-10-18 20:37:17,10.239.33.27,10.239.33.190,TCP,54
2025-10-18 20:37:17,10.239.33.190,10.239.33.27,TCP,202
2025-10-18 20:37:17,10.239.33.27,10.239.33.190,TCP,54
2025-10-18 20:37:17,10.239.33.190,10.239.33.27,TCP,54
2025-10-18 20:37:17,10.239.33.27,10.239.33.190,TCP,54
2025-10-18 20:37:18,10.239.33.190,10.239.33.27,TCP,55
2025-10-18 20:37:18,10.239.33.27,10.239.33.190,TCP,54
2025-10-18 20:37:18,10.239.33.190,10.239.33.27,TCP,185
2025-10-18 20:37:18,10.239.33.27,10.239.33.190,TCP,54
2025-10-18 20:37:18,10.239.33.190,10.239.33.27,TCP,54
2025-10-18 20:37:18,10.239.33.27,10.239.33.190,TCP,54
2025-10-18 20:37:18,10.239.33.27,10.239.33.190,TCP,54
2025-10-18 20:37:18,10.239.33.190,10.239.33.27,TCP,233
2025-10-18 20:37:18,10.239.33.27,10.239.33.190,TCP,54
2025-10-18 20:37:18,10.239.33.190,10.239.33.27,TCP,54
2025-10-18 20:37:18,10.239.33.27,10.239.33.190,TCP,54
2025-10-18 20:37:18,10.239.33.27,49.44.79.236,TCP,66
2025-10-18 20:37:18,49.44.79.236,10.239.33.27,TCP,58
2025-10-18 20:37:19,10.239.33.190,224.0.0.251,UDP,119
2025-10-18 20:37:19,140.82.113.21,10.239.33.27,TCP,66
2025-10-18 20:37:21,20.42.73.26,10.239.33.27,TCP,66
2025-10-18 20:37:23,49.44.79.236,10.239.33.27,TCP,58
2025-10-18 20:37:24,140.82.113.21,10.239.33.27,TCP,58
2025-10-18 20:37:26,20.42.73.26,10.239.33.27,TCP,58
